representation,condition,metric,k,weighted,accuracy
серое,равномерный p=0.3,cosine,1,False,0.8733333333333333
серое,равномерный p=0.3,cosine,1,True,0.8733333333333333
серое,равномерный p=0.3,cosine,3,False,0.8633333333333333
серое,равномерный p=0.3,cosine,3,True,0.8766666666666667
серое,равномерный p=0.3,cosine,5,False,0.8866666666666667
серое,равномерный p=0.3,cosine,5,True,0.8933333333333333
серое,равномерный p=0.3,cosine,7,False,0.8633333333333333
серое,равномерный p=0.3,cosine,7,True,0.8733333333333333
серое,равномерный p=0.3,cosine,9,False,0.88
серое,равномерный p=0.3,cosine,9,True,0.88
серое,блок 8x8,l1,1,False,0.89
серое,блок 8x8,l1,1,True,0.89
серое,блок 8x8,l1,3,False,0.88
серое,блок 8x8,l1,3,True,0.88
серое,блок 8x8,l1,5,False,0.8766666666666667
серое,блок 8x8,l1,5,True,0.8833333333333333
серое,блок 8x8,l1,7,False,0.8666666666666667
серое,блок 8x8,l1,7,True,0.8766666666666667
серое,блок 8x8,l1,9,False,0.8566666666666667
серое,блок 8x8,l1,9,True,0.8633333333333333
серое,блок 8x8,l2,1,False,0.9
серое,блок 8x8,l2,1,True,0.9
серое,блок 8x8,l2,3,False,0.8966666666666666
серое,блок 8x8,l2,3,True,0.8966666666666666
серое,блок 8x8,l2,5,False,0.89
серое,блок 8x8,l2,5,True,0.8866666666666667
серое,блок 8x8,l2,7,False,0.88
серое,блок 8x8,l2,7,True,0.8833333333333333
серое,блок 8x8,l2,9,False,0.88
серое,блок 8x8,l2,9,True,0.8766666666666667
серое,блок 8x8,linf,1,False,0.48333333333333334
серое,блок 8x8,linf,1,True,0.48333333333333334
серое,блок 8x8,linf,3,False,0.44333333333333336
серое,блок 8x8,linf,3,True,0.49
серое,блок 8x8,linf,5,False,0.46
серое,блок 8x8,linf,5,True,0.49333333333333335
серое,блок 8x8,linf,7,False,0.44666666666666666
серое,блок 8x8,linf,7,True,0.49
серое,блок 8x8,linf,9,False,0.44333333333333336
серое,блок 8x8,linf,9,True,0.47
серое,блок 8x8,cosine,1,False,0.86
серое,блок 8x8,cosine,1,True,0.86
серое,блок 8x8,cosine,3,False,0.8766666666666667
серое,блок 8x8,cosine,3,True,0.88
серое,блок 8x8,cosine,5,False,0.8633333333333333
серое,блок 8x8,cosine,5,True,0.8833333333333333
серое,блок 8x8,cosine,7,False,0.8666666666666667
серое,блок 8x8,cosine,7,True,0.8666666666666667
серое,блок 8x8,cosine,9,False,0.86
серое,блок 8x8,cosine,9,True,0.8666666666666667
серое,блок 12x12,l1,1,False,0.8066666666666666
серое,блок 12x12,l1,1,True,0.8066666666666666
серое,блок 12x12,l1,3,False,0.8266666666666667
серое,блок 12x12,l1,3,True,0.8266666666666667
серое,блок 12x12,l1,5,False,0.8533333333333334
серое,блок 12x12,l1,5,True,0.8566666666666667
серое,блок 12x12,l1,7,False,0.83
серое,блок 12x12,l1,7,True,0.8233333333333334
серое,блок 12x12,l1,9,False,0.82
серое,блок 12x12,l1,9,True,0.8133333333333334
серое,блок 12x12,l2,1,False,0.82
серое,блок 12x12,l2,1,True,0.82
серое,блок 12x12,l2,3,False,0.8466666666666667
серое,блок 12x12,l2,3,True,0.84
серое,блок 12x12,l2,5,False,0.8666666666666667
серое,блок 12x12,l2,5,True,0.86
серое,блок 12x12,l2,7,False,0.8533333333333334
серое,блок 12x12,l2,7,True,0.8566666666666667
серое,блок 12x12,l2,9,False,0.8333333333333334
серое,блок 12x12,l2,9,True,0.83
серое,блок 12x12,linf,1,False,0.36666666666666664
серое,блок 12x12,linf,1,True,0.36666666666666664
серое,блок 12x12,linf,3,False,0.3433333333333333
серое,блок 12x12,linf,3,True,0.36333333333333334
серое,блок 12x12,linf,5,False,0.3233333333333333
серое,блок 12x12,linf,5,True,0.3466666666666667
серое,блок 12x12,linf,7,False,0.36
серое,блок 12x12,linf,7,True,0.37333333333333335
серое,блок 12x12,linf,9,False,0.36666666666666664
серое,блок 12x12,linf,9,True,0.38
серое,блок 12x12,cosine,1,False,0.74
серое,блок 12x12,cosine,1,True,0.74
серое,блок 12x12,cosine,3,False,0.7733333333333333
серое,блок 12x12,cosine,3,True,0.78
серое,блок 12x12,cosine,5,False,0.7733333333333333
серое,блок 12x12,cosine,5,True,0.79
серое,блок 12x12,cosine,7,False,0.78
серое,блок 12x12,cosine,7,True,0.7766666666666666
серое,блок 12x12,cosine,9,False,0.7833333333333333
серое,блок 12x12,cosine,9,True,0.78
бинарное,без шума,l1,1,False,0.8766666666666667
бинарное,без шума,l1,1,True,0.8766666666666667
бинарное,без шума,l1,3,False,0.8866666666666667
бинарное,без шума,l1,3,True,0.8833333333333333
бинарное,без шума,l1,5,False,0.9
бинарное,без шума,l1,5,True,0.8966666666666666
бинарное,без шума,l1,7,False,0.8833333333333333
бинарное,без шума,l1,7,True,0.8966666666666666
бинарное,без шума,l1,9,False,0.8766666666666667
бинарное,без шума,l1,9,True,0.89
бинарное,без шума,l2,1,False,0.8766666666666667
бинарное,без шума,l2,1,True,0.8766666666666667
бинарное,без шума,l2,3,False,0.8866666666666667
бинарное,без шума,l2,3,True,0.8833333333333333
бинарное,без шума,l2,5,False,0.9
бинарное,без шума,l2,5,True,0.8966666666666666
бинарное,без шума,l2,7,False,0.8833333333333333
бинарное,без шума,l2,7,True,0.8966666666666666
бинарное,без шума,l2,9,False,0.8766666666666667
бинарное,без шума,l2,9,True,0.89
бинарное,без шума,linf,1,False,0.1
бинарное,без шума,linf,1,True,0.1
бинарное,без шума,linf,3,False,0.1
бинарное,без шума,linf,3,True,0.1
бинарное,без шума,linf,5,False,0.1
бинарное,без шума,linf,5,True,0.1
бинарное,без шума,linf,7,False,0.1
бинарное,без шума,linf,7,True,0.1
бинарное,без шума,linf,9,False,0.1
бинарное,без шума,linf,9,True,0.1
бинарное,без шума,cosine,1,False,0.9066666666666666
бинарное,без шума,cosine,1,True,0.9066666666666666
бинарное,без шума,cosine,3,False,0.9
бинарное,без шума,cosine,3,True,0.9066666666666666
бинарное,без шума,cosine,5,False,0.9
бинарное,без шума,cosine,5,True,0.9066666666666666
бинарное,без шума,cosine,7,False,0.89
бинарное,без шума,cosine,7,True,0.8966666666666666
бинарное,без шума,cosine,9,False,0.8933333333333333
бинарное,без шума,cosine,9,True,0.9
бинарное,равномерный p=0.1,l1,1,False,0.88
бинарное,равномерный p=0.1,l1,1,True,0.88
бинарное,равномерный p=0.1,l1,3,False,0.8733333333333333
бинарное,равномерный p=0.1,l1,3,True,0.8833333333333333
бинарное,равномерный p=0.1,l1,5,False,0.88
бинарное,равномерный p=0.1,l1,5,True,0.8933333333333333
бинарное,равномерный p=0.1,l1,7,False,0.8766666666666667
бинарное,равномерный p=0.1,l1,7,True,0.89
бинарное,равномерный p=0.1,l1,9,False,0.8666666666666667
бинарное,равномерный p=0.1,l1,9,True,0.8833333333333333
бинарное,равномерный p=0.1,l2,1,False,0.88
бинарное,равномерный p=0.1,l2,1,True,0.88
бинарное,равномерный p=0.1,l2,3,False,0.8733333333333333
бинарное,равномерный p=0.1,l2,3,True,0.8833333333333333
бинарное,равномерный p=0.1,l2,5,False,0.88
бинарное,равномерный p=0.1,l2,5,True,0.8933333333333333
бинарное,равномерный p=0.1,l2,7,False,0.8766666666666667
бинарное,равномерный p=0.1,l2,7,True,0.89
бинарное,равномерный p=0.1,l2,9,False,0.8666666666666667
бинарное,равномерный p=0.1,l2,9,True,0.8833333333333333
бинарное,равномерный p=0.1,linf,1,False,0.1
бинарное,равномерный p=0.1,linf,1,True,0.1
бинарное,равномерный p=0.1,linf,3,False,0.1
бинарное,равномерный p=0.1,linf,3,True,0.1
бинарное,равномерный p=0.1,linf,5,False,0.1
бинарное,равномерный p=0.1,linf,5,True,0.1
бинарное,равномерный p=0.1,linf,7,False,0.1
бинарное,равномерный p=0.1,linf,7,True,0.1
бинарное,равномерный p=0.1,linf,9,False,0.1
бинарное,равномерный p=0.1,linf,9,True,0.1
бинарное,равномерный p=0.1,cosine,1,False,0.88
бинарное,равномерный p=0.1,cosine,1,True,0.88
бинарное,равномерный p=0.1,cosine,3,False,0.8966666666666666
бинарное,равномерный p=0.1,cosine,3,True,0.8966666666666666
бинарное,равномерный p=0.1,cosine,5,False,0.8933333333333333
бинарное,равномерный p=0.1,cosine,5,True,0.8966666666666666
бинарное,равномерный p=0.1,cosine,7,False,0.8833333333333333
бинарное,равномерный p=0.1,cosine,7,True,0.8966666666666666
бинарное,равномерный p=0.1,cosine,9,False,0.8766666666666667
бинарное,равномерный p=0.1,cosine,9,True,0.8833333333333333
бинарное,равномерный p=0.3,l1,1,False,0.87
бинарное,равномерный p=0.3,l1,1,True,0.87
бинарное,равномерный p=0.3,l1,3,False,0.8733333333333333
бинарное,равномерный p=0.3,l1,3,True,0.8766666666666667
