модель,accuracy,macro_f1
"kNN, k = 1",0.93,0.9300397979376506
10 перцептронов,0.8466666666666667,0.8458965513474406
softmax + SGD,0.8633333333333333,0.8630543906395051
ансамбль 15 наборов,0.87,0.8707975550348406
